;Place;Year;Meat type;Dog type;Dog build;Casing;Cooking method;Pre-cooking;Post-cooking;Carp prep;Carb;Seeds;Mustard;Ketchup;BBQ;Cabbage;Peppers;Onions;Cheese;Bacon;Extra carb;Extra protein;Special seasoning;Relish;Beans;Coleslaw;Pickles;Scallions;Tomatoes;Palta;Mayo;Chives;Meat condiment;Spicy sauce;Special sauce
Papaya dog;New York City;1932;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Dirty-water dog;New York City;1860-1871;0;0;0;1;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 | 1
Italian dog;North Jersey;1932;0;1;1;0;2;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Half-smoke;Washington DC;1930-1939;0 | 1 | 2;1;0;0;0 | 3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Texas Tommy;Philadelphia;1940-1949;0;0;0;0;3;2 | 3;0;1;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NY System wiener;Rhode Island;1915;0;0;0;0;0;0;0;3;2;0;2;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0
Fenway Frank;Beantown, Mass;1912;0 | 2;0;2;0;1 | 3;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0 | 1;0;0;0;0;0;0;0;0;0;0
Philly Combo;The City of Brotherly Love;1895;0;0;0;0;3;2;0;1 | 3;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Baltimore bologna dog;Baltimore;1929-1939;0;0;0;0;0;4;0;1;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Ripper;Clifton, NJ;1928;2;0;0;0;2;0;0;1 | 2;0;0;0 | 2;0;0;0;0;0;0;0;0;0;0;0 | 2;0;0;0;0;0;0;0;0;0;0;0
Texas wiener;Paterson;1913-1918;0;0;0;0;2;0;0;3;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
Salami dog;Philadelphia;;0;0;0;0;3;0;1;1;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0
Crab mac n’ cheese dog;Baltimore;2012;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0
Maine Red Snapper;Maine;1918;0 | 1;2;0;2;0 | 3;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Michigan Red Hot;Upstate New York;1927;0;0;0;0;4;0;0;3;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Troy mini hot dog;Upstate New York;1957;0 | 1 | 2;0;3;0;3;0;0;5;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
Slaw dog;The South;1922;0;0;0;0;0 | 1;0;0;2;0;0;0 | 2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0
Scrambled dog;Columbus, GA;1908-1926;0 | 1 | 2;0;0;0;1;0;2;2;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;1;0;0;0;0;0;1;0;0
Texas dog;Texas;2019;0 | 1 | 2;0;2;0;0 | 3;0;0;2;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0 | 1;1;0
Memphis dog;Memphis;;1;0;0;0;3;4;0;6;0;0;0;0;1;0;0;2;3;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Chicago dog;Chicago;1893;0;0;0;0;1;0;0;3;0;1;2;0;0;0;2;2;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0
Reuben dog;New York;1973;0 | 1;0;0;0;0;0;0;1;0;2;0 | 1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 | 6
Bagel dog;New York, Cincinnati, Chicago;1980;0 | 1 | 2;0;0 | 3;0;5;0;0;0;3;1 | 3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Polish Boy;Cleveland;1942;1;3;0;0;0 | 3;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2;0
Francheezie;Chicago;1940-1949;0;0;0;0;2;2 | 3 | 4;0;3;0;1;0 | 2;0;0;0;0 | 2;0 | 2;2;3;0;0;0 | 1;0 | 1;0;0;0 | 1;0;0 | 1;0;0;0;0;0;0
Detroit coney;Detroit;1910;0 | 2;0;4;0;0 | 3;0;0;3;0;0;2;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
Flint-style coney;Flint;1919;0 | 2;0;4;0;0;0;0;3;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0
Jackson-style coney;Jackson;1914;0 | 2;0;4;0;0 | 1;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4 | 6;0;0
Cincinnati cheese coney;Cincinnati;1922;0;0;0;0;1 | 4;0;0;3;0;0;2;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0
Minnesota corn dog;Minnesota;1941;0 | 1 | 2;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sonoran;Arizona (from Sonora, México);1970-1979;0 | 1 | 2;0;0;0;3;4;3;3;2;0;0;0;0;0;1;2;0 | 3;3;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0
Nevada naked dog;Las Vegas;;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Seattle-style dog;Seattle-style dog;1989;0 | 1 | 2;0 | 4;0;0;3;0;4;1;0;0;0;0;0 | 1;2;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 | 1 | 3;0
Denver dog;Denver;;0;0;0;0;3;0;0;1 | 3;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3
Danger dog;Los Angeles, San Francisco (from Tijuana or Hermosillo, México);1950-1959;2;0;0;0;2;4;0;2;0;0;1 | 2;1;0;0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Montana Tater Pig;Idaho;1966-1975;0 | 1 | 2;0;0;1;5;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3
Dodger dog;Los Angeles;1962;1;0;5;1;3 | 4;0;0;7;0;0;0;0;0;0;1;2;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Puka dog;Honolulu;2000;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0 | 3;0;0;0;0;0;0;0;0;0;5;0
Reindeer hot dog;Alaska;1999;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rockie dog;Colorado;2007;0 | 1 | 2;0;5;0;0;0;0;7;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
