taxon,min_age,max_age
Papaya_dog_fossil,93,93.9
Dirty-water_dog_fossil,154,165
Italian_dog_fossil,93,93.9
Half-smoke_fossil,86,95
Texas_Tommy_fossil,76,85
NY_System_wiener_fossil,110,110.9
Fenway_Frank_fossil,113,113.9
Philly_Combo_fossil,130,130.9
Baltimore_bologna_dog_fossil,86,96
Ripper_fossil,97,97.9
Texas_wiener_fossil,107,112
Crab_mac_n’_cheese_dog_fossil,13,13.9
Maine_Red_Snapper_fossil,107,107.9
Michigan_Red_Hot_fossil,98,98.9
Troy_mini_hot_dog_fossil,68,68.9
Slaw_dog_fossil,103,103.9
Scrambled_dog_fossil,99,117
Texas_dog_fossil,6,6.9
Chicago_dog_fossil,132,132.9
Reuben_dog_fossil,52,52.9
Bagel_dog_fossil,45,45.9
Polish_Boy_fossil,83,83.9
Francheezie_fossil,76,85
Detroit_coney_fossil,115,115.9
Flint-style_coney_fossil,106,106.9
Jackson-style_coney_fossil,111,111.9
Cincinnati_cheese_coney_fossil,103,103.9
Minnesota_corn_dog_fossil,84,84.9
Sonoran_fossil,46,55
Seattle-style_dog_fossil,36,36.9
Danger_dog_fossil,66,75
Montana_Tater_Pig_fossil,50,59
Dodger_dog_fossil,63,63.9
Puka_dog_fossil,25,25.9
Reindeer_hot_dog_fossil,26,26.9
Rockie_dog_fossil,18,18.9
